host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;mes;ano
within a day;90%;f;3.0;-2.298.159;-4.319.479;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",Essentials}";$150.00;$500.00;$100.00;2;$35.00;4;365;92;92.0;9.0;9.0;9.0;9.0;9.0;9.0;f;f;strict_14_with_grace_period;4;2018
within a few hours;100%;f;1.0;-2.296.528;-4.319.077;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Washer,Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Long term stays allowed"",""Cleaning before checkout"",""Wide hallways"",""No stairs or steps to enter"",""Accessible-height bed"",""No stairs or steps to enter"",""Host greets you"",""Handheld shower head""}";$299.00;$500.00;$150.00;3;$100.00;7;90;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;flexible;4;2018
within a few hours;100%;f;4.0;-2.297.067;-4.318.922;Condominium;Private room;2;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,Kitchen,Doorman,""Pets live on this property"",Dog(s),Elevator,""Free street parking"",""Buzzer/wireless intercom"",Washer,""First aid kit"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}";$171.00;;$90.00;1;$60.00;2;90;8;98.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;4;2018
within a day;100%;f;1.0;-2.296.356;-4.317.931;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}";$208.00;$416.00;$187.00;2;$83.00;3;90;6;92.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;4;2018
within a few hours;100%;f;5.0;-2.291.695;-4.319.211;House;Private room;1;0.0;1.0;1.0;Real Bed;"{""Cable TV"",Wifi,Kitchen,""Free street parking"",Essentials,""Lock on bedroom door"",""Host greets you""}";$42.00;$0.00;$40.00;1;$0.00;2;10;8;100.0;9.0;9.0;10.0;9.0;8.0;9.0;f;f;moderate;4;2018
within a few hours;100%;f;1.0;-2.300.955;-4.329.092;House;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Family/kid friendly"",Washer,Dryer,Essentials}";$329.00;$832.00;$104.00;1;$0.00;1;1125;0;;;;;;;;f;f;flexible;4;2018
within a day;100%;t;2.0;-2.296.653;-4.317.979;Apartment;Private room;2;2.0;1.0;0.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Wide hallways"",""No stairs or steps to enter"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Wide doorway to guest bathroom"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""No stairs or steps to enter"",""Wide entryway""}";$137.00;;;1;$0.00;2;1125;108;95.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;4;2018
a few days or more;25%;f;4.0;-2.292.114;-4.318.603;House;Private room;3;1.0;1.0;3.0;Real Bed;"{Internet,Wifi,Pool,""Smoking allowed"",Breakfast,Washer,Dryer}";$349.00;;;2;$50.00;2;1125;5;90.0;8.0;9.0;10.0;9.0;9.0;8.0;f;f;flexible;4;2018
a few days or more;25%;f;4.0;-229.218;-4.318.602;House;Private room;2;1.0;1.0;2.0;Real Bed;"{Internet,Wifi,Pool,""Smoking allowed"",Breakfast,Washer,Dryer}";$349.00;;;2;$50.00;1;1125;2;91.0;10.0;10.0;8.0;10.0;10.0;8.0;f;f;flexible;4;2018
a few days or more;25%;f;4.0;-2.292.107;-4.318.675;House;Private room;3;1.0;1.0;3.0;Real Bed;"{Internet,Wifi,Pool,Kitchen,""Smoking allowed"",Breakfast,""Free street parking"",Washer,Dryer,Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",Beachfront}";$250.00;;$50.00;2;$50.00;1;1125;6;100.0;10.0;10.0;10.0;9.0;10.0;9.0;f;f;flexible;4;2018
